"Crear hora","Casa de apuestas","ID Padre","ID de usuario",Usuario,Tipo,"ID de transacción","Nombre de usuario del emisor",Moneda,Ingresos,Estado,Total,Comisión,Saldo,"Saldo actual",Billeteras,"Tipo de transacción","grupo causal",causal,"producto causal",Descripción,Nota,"Dirección IP"
"2024-03-01 10:13:13",pe.aciertala.com,783887243,783887261,CJProceres20,Operador,94504809609,CJProceres20unknown,PEN,250,0.00,250,,2247.6,2497.6,SportBooks,Deposit,"Depósito - Retiro","Cupón redimido (12)",Cupón,"#1979202 Voucher Canjeado",,179.6.168.145
"2024-03-01 10:18:03",pe.aciertala.com,782425139,785276927,Jhan099,"Player Online",94504967490,deleted_manager,PEN,6,0.00,6,,0.02,6.02,SportBooks,Deposit,"Depósito - Retiro","Deposito Bancario (83)",Banco,"Depósito De Banco","Recarga Al Toque",191.183.40.104
"2024-03-01 05:12:14",pe.aciertala.com,782425139,784702559,pieri123,"Player Retail",94496553246,pieri123shop,PEN,20,0.00,20,,0,20,SportBooks,Deposit,"Depósito - Retiro","Alps Online Deposit (1017)",Payments,Deposito,,190.237.255.69
"2024-03-01 01:17:43",pe.aciertala.com,782425139,785117468,eder,"Player Retail",94494763350,edershop,PEN,48,0.00,48,,0.34,48.34,SportBooks,Deposit,"Depósito - Retiro","Alps Online Deposit (1017)",Payments,Deposito,,31.4.230.187
"2024-03-01 00:23:11",pe.aciertala.com,782425139,783890702,TOMAS25,"Player Online",94494679680,TOMAS25shop,PEN,40,0.00,40,,0.6,40.6,SportBooks,Deposit,"Depósito - Retiro","Alps Online Deposit (1017)",Payments,Deposito,,38.25.15.176
"2024-03-01 11:09:00",pe.aciertala.com,782425139,783914582,juver16,"Player Retail",94506682944,juver16shop,PEN,5,0.00,5,,0.83,5.83,SportBooks,Deposit,"Depósito - Retiro","Cupón redimido (12)",Cupón,"#1979268 Voucher Canjeado",,179.6.168.145
"2024-03-01 11:54:47",pe.aciertala.com,782425139,784514924,tonyhorses,"Player Retail",94508242704,tonyhorsesshop,PEN,10,0.00,10,,0,10,SportBooks,Deposit,"Depósito - Retiro","Alpcash Deposit (1033)",Payments,Deposito,,190.234.175.177
"2024-03-01 13:54:54",pe.aciertala.com,782425139,784100114,juanlucar,"Player Retail",94512888297,juanlucarshop,PEN,20,0.00,20,,0.58,20.58,SportBooks,Deposit,"Depósito - Retiro","Cupón redimido (12)",Cupón,"#1979298 Voucher Canjeado",,181.66.157.135
"2024-03-01 14:08:12",pe.aciertala.com,782425139,783891056,ACUARIO123,"Player Retail",94513410783,ACUARIO123shop,PEN,20,0.00,20,,0.84,20.84,SportBooks,Deposit,"Depósito - Retiro","Cupón redimido (12)",Cupón,"#1979304 Voucher Canjeado",,181.176.105.221
"2024-03-01 13:38:18",pe.aciertala.com,782425139,784228805,Wuilmerchimu,"Player Retail",94512240528,Wuilmerchimushop,PEN,5,0.00,5,,0.47,5.47,SportBooks,Deposit,"Depósito - Retiro","Cupón redimido (12)",Cupón,"#1979292 Voucher Canjeado",,181.66.157.135
"2024-03-01 14:31:18",pe.aciertala.com,782425139,784621460,cortez22,"Player Retail",94514292618,cortez22shop,PEN,10,0.00,10,,0.02,10.02,SportBooks,Deposit,"Depósito - Retiro","Alps Online Deposit (1017)",Payments,Deposito,,179.7.88.226
"2024-03-01 15:14:16",pe.aciertala.com,782425139,785097086,AKIRA2014,"Player Online",94515908292,AKIRA2014shop,PEN,1000,0.00,1000,,0,1000,SportBooks,Deposit,"Depósito - Retiro","Alpcash Deposit (1033)",Payments,Deposito,,132.251.3.31
"2024-03-01 14:47:48",pe.aciertala.com,782425139,783890702,TOMAS25,"Player Online",94514917896,TOMAS25shop,PEN,50,0.00,50,,0.88,50.88,SportBooks,Deposit,"Depósito - Retiro","Alps Online Deposit (1017)",Payments,Deposito,,38.25.15.176
"2024-03-01 15:38:47",pe.aciertala.com,782425139,785097086,AKIRA2014,"Player Online",94516790283,AKIRA2014shop,PEN,1000,0.00,1000,,0,1000,SportBooks,Deposit,"Depósito - Retiro","Alpcash Deposit (1033)",Payments,Deposito,,132.251.3.31
"2024-03-01 15:31:48",pe.aciertala.com,782425139,783890702,TOMAS25,"Player Online",94516530465,TOMAS25shop,PEN,20,0.00,20,,0.88,20.88,SportBooks,Deposit,"Depósito - Retiro","Alps Online Deposit (1017)",Payments,Deposito,,38.25.15.176
